po_ts_to_dispatch,po_ts_to_dispatch,po_ts_to_dispatch,po_ts_to_dispatch,po_ts_to_dispatch,po_ts_to_dispatch,po_ts_to_dispatch,po_ts_to_dispatch,po_ts_to_expected_reporting,po_ts_to_expected_reporting,po_ts_to_expected_reporting,po_ts_to_expected_reporting,po_ts_to_expected_reporting,po_ts_to_expected_reporting,po_ts_to_expected_reporting,po_ts_to_expected_reporting
April,April,July,July,June,June,May,May,April,April,July,July,June,June,May,May
RMC - Aluminium,RMC - Steel,RMC - Aluminium,RMC - Steel,RMC - Aluminium,RMC - Steel,RMC - Aluminium,RMC - Steel,RMC - Aluminium,RMC - Steel,RMC - Aluminium,RMC - Steel,RMC - Aluminium,RMC - Steel,RMC - Aluminium,RMC - Steel
3.13,8.93,0.87,3.22,2.02,4.14,3.24,2.97,3.38,5.51,0.36,1.01,1.55,0.75,2.42,0.96
3.01,11.43,0.33,,2.28,5.01,6.34,2.91,3.19,5.51,0.24,1.01,2.0,1.09,4.75,1.24
,11.21,1.5,,,5.35,,3.38,,5.91,1.08,1.01,,1.63,,0.97
,12.1,,,,5.01,,3.38,,6.31,,,,1.62,,0.97
,14.1,,,,6.12,,5.17,,7.71,,,,2.03,,3.51
,14.42,,,,8.11,,,,8.11,,,,2.28,,
,14.22,,,,7.98,,,,9.75,,,,2.57,,
,15.17,,,,7.14,,,,10.76,,,,3.14,,
,16.2,,,,,,,,10.22,,,,,,
,18.24,,,,,,,,10.97,,,,,,
,18.88,,,,,,,,9.65,,,,,,
,19.21,,,,,,,,15.0,,,,,,
,20.19,,,,,,,,18.26,,,,,,
,19.73,,,,,,,,19.6,,,,,,
,17.17,,,,,,,,19.18,,,,,,
,17.17,,,,,,,,16.46,,,,,,
,17.17,,,,,,,,16.46,,,,,,
