O2D_,O2D_,O2D_,vehicle_loaded_to_dispatch_tat,vehicle_loaded_to_dispatch_tat,vehicle_loaded_to_dispatch_tat,vehicle_reported_to_dispatch_tat,vehicle_reported_to_dispatch_tat,vehicle_reported_to_dispatch_tat,vehicle_reported_to_load_tat,vehicle_reported_to_load_tat,vehicle_reported_to_load_tat
mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
April,June,May,April,June,May,April,June,May,April,June,May
14.36,0.0,0.0,0.16,0.0,0.0,0.81,0.0,0.0,0.66,0.0,0.0
0.0,4.33,0.0,0.0,0.25,0.0,0.0,0.33,0.0,0.0,0.08,0.0
0.0,4.33,0.0,0.0,0.64,0.0,0.0,0.78,0.0,0.0,0.14,0.0
3.0,1.0,3.39,0.09,0.23,0.28,0.22,1.41,0.57,0.13,1.18,0.29
0.0,2.0,0.0,0.0,0.38,0.0,0.0,0.46,0.0,0.0,0.08,0.0
0.0,5.74,0.0,0.0,0.21,0.0,0.0,0.74,0.0,0.0,0.52,0.0
0.0,3.33,0.0,0.0,0.12,0.0,0.0,1.35,0.0,0.0,1.23,0.0
0.0,2.0,0.0,0.0,0.22,0.0,0.0,0.31,0.0,0.0,0.09,0.0
14.79,0.0,3.07,0.36,0.0,0.47,0.91,0.0,1.23,0.54,0.0,0.76
0.0,4.3,0.0,0.0,0.75,0.0,0.0,0.88,0.0,0.0,0.12,0.0
0.0,0.0,6.06,0.0,0.0,0.24,0.0,0.0,0.35,0.0,0.0,0.11
0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,2.06,0.0,0.0,0.54
